gbifID,type,format,identifier,references,title,description,source,audience,created,creator,contributor,publisher,license,rightsHolder,Image #
5187617502,StillImage,image/png,https://inaturalist-open-data.s3.amazonaws.com/photos/484213029/original.png,https://www.inaturalist.org/photos/484213029,,,,,2025-03-23T12:06:00Z,AndraTemruk,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,AndraTemruk,399
5187617502,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/484207298/original.jpg,https://www.inaturalist.org/photos/484207298,,,,,2025-03-23T22:06:45Z,AndraTemruk,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,AndraTemruk,400
5187537548,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/490061253/original.jpeg,https://www.inaturalist.org/photos/490061253,,,,,2025-04-23T16:53:47Z,Pavel Šmejkal,,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Pavel Šmejkal,401
5187537548,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/490061240/original.jpeg,https://www.inaturalist.org/photos/490061240,,,,,2025-04-23T16:54:12Z,Pavel Šmejkal,,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Pavel Šmejkal,402
5187521789,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/515759835/original.jpg,https://www.inaturalist.org/photos/515759835,,,,,2025-06-01T21:51:27Z,Марина Давлетшина,,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Марина Давлетшина,403
5187521789,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/515759718/original.jpg,https://www.inaturalist.org/photos/515759718,,,,,2025-06-01T21:51:13Z,Марина Давлетшина,,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Марина Давлетшина,404
5187521789,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/515759777/original.jpg,https://www.inaturalist.org/photos/515759777,,,,,2025-06-01T21:51:18Z,Марина Давлетшина,,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Марина Давлетшина,405
5187521789,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/515759665/original.jpg,https://www.inaturalist.org/photos/515759665,,,,,2025-06-01T21:51:10Z,Марина Давлетшина,,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Марина Давлетшина,406
5187192351,StillImage,image/jpeg,https://observation.org/photos/112722982.jpg,,,,,,,JBB,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,JBB,407
5187136470,StillImage,image/jpeg,https://observation.org/photos/121235857.jpg,,,,,,,Christien Labruijère,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Christien Labruijère,408
